,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,Region
13860,World,all_energy_types,1990,353.54,357.84,49229.89,5294251.48698,66.78,7.18,22158.63,World
13861,World,coal,1990,95.87,99.11,49229.89,5294251.48698,66.78,7.18,9208.27,World
13862,World,natural_gas,1990,75.12,75.71,49229.89,5294251.48698,66.78,7.18,3925.34,World
13863,World,petroleum_n_other_liquids,1990,136.13,136.2,49229.89,5294251.48698,66.78,7.18,9025.02,World
13864,World,nuclear,1990,20.36,20.36,49229.89,5294251.48698,66.78,7.18,0.0,World
13865,World,renewables_n_other,1990,26.11,26.46,49229.89,5294251.48698,66.78,7.18,0.0,World
13866,Afghanistan,all_energy_types,1990,0.11,0.12,33.52,12412.3,8.73,3.23,6.02,Arab contries
13867,Afghanistan,coal,1990,0.0,0.0,33.52,12412.3,8.73,3.23,0.25,Arab contries
13868,Afghanistan,natural_gas,1990,0.07,0.11,33.52,12412.3,8.73,3.23,3.78,Arab contries
13869,Afghanistan,petroleum_n_other_liquids,1990,0.03,0.0,33.52,12412.3,8.73,3.23,2.0,Arab contries
13871,Afghanistan,renewables_n_other,1990,0.01,0.01,33.52,12412.3,8.73,3.23,0.0,Arab contries
13872,Albania,all_energy_types,1990,0.11,0.13,15.58,3286.07,34.95,7.37,9.31,Eastern Europe
13873,Albania,coal,1990,0.03,0.02,15.58,3286.07,34.95,7.37,3.62,Eastern Europe
13874,Albania,natural_gas,1990,0.01,0.01,15.58,3286.07,34.95,7.37,1.39,Eastern Europe
13875,Albania,petroleum_n_other_liquids,1990,0.04,0.07,15.58,3286.07,34.95,7.37,4.3,Eastern Europe
13877,Albania,renewables_n_other,1990,0.03,0.03,15.58,3286.07,34.95,7.37,0.0,Eastern Europe
13878,Algeria,all_energy_types,1990,1.22,4.75,231.43,25758.9,47.27,5.26,66.69,Arab contries
13879,Algeria,coal,1990,0.03,0.0,231.43,25758.9,47.27,5.26,3.37,Arab contries
13880,Algeria,natural_gas,1990,0.8,2.11,231.43,25758.9,47.27,5.26,41.32,Arab contries
13881,Algeria,petroleum_n_other_liquids,1990,0.38,2.64,231.43,25758.9,47.27,5.26,22.0,Arab contries
13883,Algeria,renewables_n_other,1990,0.0,0.0,231.43,25758.9,47.27,5.26,0.0,Arab contries
13890,Angola,all_energy_types,1990,0.08,1.04,62.57,11848.4,6.72,1.27,4.73,Africa
13891,Angola,coal,1990,0.0,0.0,62.57,11848.4,6.72,1.27,0.0,Africa
13892,Angola,natural_gas,1990,0.02,0.02,62.57,11848.4,6.72,1.27,0.83,Africa
13893,Angola,petroleum_n_other_liquids,1990,0.05,1.01,62.57,11848.4,6.72,1.27,3.9,Africa
13895,Angola,renewables_n_other,1990,0.01,0.01,62.57,11848.4,6.72,1.27,0.0,Africa
13902,Antigua and Barbuda,all_energy_types,1990,0.01,0.0,0.98,62.533,95.45,6.07,0.4,Latin America
13903,Antigua and Barbuda,coal,1990,0.0,0.0,0.98,62.533,95.45,6.07,0.0,Latin America
13904,Antigua and Barbuda,natural_gas,1990,0.0,0.0,0.98,62.533,95.45,6.07,0.0,Latin America
13905,Antigua and Barbuda,petroleum_n_other_liquids,1990,0.01,0.0,0.98,62.533,95.45,6.07,0.4,Latin America
13907,Antigua and Barbuda,renewables_n_other,1990,0.0,0.0,0.98,62.533,95.45,6.07,0.0,Latin America
13908,Argentina,all_energy_types,1990,1.88,2.01,405.45,32675.95,57.42,4.63,107.37,Latin America
13909,Argentina,coal,1990,0.04,0.01,405.45,32675.95,57.42,4.63,3.76,Latin America
13910,Argentina,natural_gas,1990,0.74,0.65,405.45,32675.95,57.42,4.63,43.6,Latin America
13911,Argentina,petroleum_n_other_liquids,1990,0.83,1.09,405.45,32675.95,57.42,4.63,60.0,Latin America
13912,Argentina,nuclear,1990,0.08,0.08,405.45,32675.95,57.42,4.63,0.0,Latin America
13913,Argentina,renewables_n_other,1990,0.19,0.19,405.45,32675.95,57.42,4.63,0.0,Latin America
13920,Aruba,all_energy_types,1990,0.01,0.0,1.77,62.152,125.83,4.42,0.6,Western Europe
13921,Aruba,coal,1990,0.0,0.0,1.77,62.152,125.83,4.42,0.0,Western Europe
13922,Aruba,natural_gas,1990,0.0,0.0,1.77,62.152,125.83,4.42,0.0,Western Europe
13923,Aruba,petroleum_n_other_liquids,1990,0.01,0.0,1.77,62.152,125.83,4.42,0.6,Western Europe
13925,Aruba,renewables_n_other,1990,0.0,0.0,1.77,62.152,125.83,4.42,0.0,Western Europe
13926,Australia,all_energy_types,1990,3.85,6.59,514.47,17092.82,224.95,7.47,280.54,Oceania
13927,Australia,coal,1990,1.58,4.39,514.47,17092.82,224.95,7.47,153.13,Oceania
13928,Australia,natural_gas,1990,0.65,0.78,514.47,17092.82,224.95,7.47,31.54,Oceania
13929,Australia,petroleum_n_other_liquids,1990,1.48,1.27,514.47,17092.82,224.95,7.47,95.86,Oceania
13931,Australia,renewables_n_other,1990,0.13,0.15,514.47,17092.82,224.95,7.47,0.0,Oceania
13932,Austria,all_energy_types,1990,1.16,0.47,268.94,7686.107,150.71,4.31,50.35,Western Europe
13933,Austria,coal,1990,0.12,0.03,268.94,7686.107,150.71,4.31,12.31,Western Europe
13934,Austria,natural_gas,1990,0.23,0.05,268.94,7686.107,150.71,4.31,11.11,Western Europe
13935,Austria,petroleum_n_other_liquids,1990,0.45,0.05,268.94,7686.107,150.71,4.31,26.93,Western Europe
13937,Austria,renewables_n_other,1990,0.36,0.34,268.94,7686.107,150.71,4.31,0.0,Western Europe
13944,Bahrain,all_energy_types,1990,0.26,0.31,18.14,468.165,547.31,14.12,13.03,Arab contries
13945,Bahrain,coal,1990,0.0,0.0,18.14,468.165,547.31,14.12,0.0,Arab contries
13946,Bahrain,natural_gas,1990,0.21,0.21,18.14,468.165,547.31,14.12,10.33,Arab contries
13947,Bahrain,petroleum_n_other_liquids,1990,0.04,0.1,18.14,468.165,547.31,14.12,2.7,Arab contries
13949,Bahrain,renewables_n_other,1990,0.0,0.0,18.14,468.165,547.31,14.12,0.0,Arab contries
13950,Bangladesh,all_energy_types,1990,0.24,0.16,162.15,103172.0,2.32,1.47,14.05,Asia
13951,Bangladesh,coal,1990,0.0,0.0,162.15,103172.0,2.32,1.47,0.16,Asia
13952,Bangladesh,natural_gas,1990,0.15,0.15,162.15,103172.0,2.32,1.47,8.19,Asia
13953,Bangladesh,petroleum_n_other_liquids,1990,0.08,0.0,162.15,103172.0,2.32,1.47,5.7,Asia
13955,Bangladesh,renewables_n_other,1990,0.01,0.01,162.15,103172.0,2.32,1.47,0.0,Asia
13956,Barbados,all_energy_types,1990,0.02,0.0,3.66,260.933,71.94,5.13,1.26,Latin America
13957,Barbados,coal,1990,0.0,0.0,3.66,260.933,71.94,5.13,0.0,Latin America
13958,Barbados,natural_gas,1990,0.0,0.0,3.66,260.933,71.94,5.13,0.06,Latin America
13959,Barbados,petroleum_n_other_liquids,1990,0.02,0.0,3.66,260.933,71.94,5.13,1.2,Latin America
13961,Barbados,renewables_n_other,1990,0.0,0.0,3.66,260.933,71.94,5.13,0.0,Latin America
13968,Belgium,all_energy_types,1990,2.21,0.46,328.24,9972.277,222.07,6.75,122.64,Western Europe
13969,Belgium,coal,1990,0.45,0.03,328.24,9972.277,222.07,6.75,39.64,Western Europe
13970,Belgium,natural_gas,1990,0.36,0.0,328.24,9972.277,222.07,6.75,18.76,Western Europe
13971,Belgium,petroleum_n_other_liquids,1990,0.99,0.0,328.24,9972.277,222.07,6.75,64.24,Western Europe
13972,Belgium,nuclear,1990,0.42,0.42,328.24,9972.277,222.07,6.75,0.0,Western Europe
13973,Belgium,renewables_n_other,1990,-0.01,0.01,328.24,9972.277,222.07,6.75,0.0,Western Europe
13974,Belize,all_energy_types,1990,0.0,0.0,0.9,187.554,26.07,5.46,0.2,Latin America
13975,Belize,coal,1990,0.0,0.0,0.9,187.554,26.07,5.46,0.0,Latin America
13976,Belize,natural_gas,1990,0.0,0.0,0.9,187.554,26.07,5.46,0.0,Latin America
13977,Belize,petroleum_n_other_liquids,1990,0.0,0.0,0.9,187.554,26.07,5.46,0.2,Latin America
13979,Belize,renewables_n_other,1990,0.0,0.0,0.9,187.554,26.07,5.46,0.0,Latin America
13980,Benin,all_energy_types,1990,0.01,0.01,10.61,4978.49,1.75,0.82,0.5,Africa
13981,Benin,coal,1990,0.0,0.0,10.61,4978.49,1.75,0.82,0.0,Africa
13982,Benin,natural_gas,1990,0.0,0.0,10.61,4978.49,1.75,0.82,0.0,Africa
13983,Benin,petroleum_n_other_liquids,1990,0.01,0.01,10.61,4978.49,1.75,0.82,0.5,Africa
13985,Benin,renewables_n_other,1990,0.0,0.0,10.61,4978.49,1.75,0.82,0.0,Africa
13986,Bermuda,all_energy_types,1990,0.01,0.0,4.3,61.63,151.07,2.17,0.9,Western Europe
13987,Bermuda,coal,1990,0.0,0.0,4.3,61.63,151.07,2.17,0.0,Western Europe
13988,Bermuda,natural_gas,1990,0.0,0.0,4.3,61.63,151.07,2.17,0.0,Western Europe
13989,Bermuda,petroleum_n_other_liquids,1990,0.01,0.0,4.3,61.63,151.07,2.17,0.9,Western Europe
13991,Bermuda,renewables_n_other,1990,0.0,0.0,4.3,61.63,151.07,2.17,0.0,Western Europe
13992,Bhutan,all_energy_types,1990,0.01,0.02,1.37,530.801,23.98,9.27,0.06,Asia
13993,Bhutan,coal,1990,0.0,0.0,1.37,530.801,23.98,9.27,0.03,Asia
13994,Bhutan,natural_gas,1990,0.0,0.0,1.37,530.801,23.98,9.27,0.0,Asia
13995,Bhutan,petroleum_n_other_liquids,1990,0.0,0.0,1.37,530.801,23.98,9.27,0.03,Asia
13997,Bhutan,renewables_n_other,1990,0.01,0.02,1.37,530.801,23.98,9.27,0.0,Asia
13998,Bolivia,all_energy_types,1990,0.09,0.17,28.14,6864.84,13.44,3.28,4.58,Latin America
13999,Bolivia,coal,1990,0.0,0.0,28.14,6864.84,13.44,3.28,0.0,Latin America
14000,Bolivia,natural_gas,1990,0.03,0.11,28.14,6864.84,13.44,3.28,1.38,Latin America
14001,Bolivia,petroleum_n_other_liquids,1990,0.05,0.05,28.14,6864.84,13.44,3.28,3.2,Latin America
14003,Bolivia,renewables_n_other,1990,0.01,0.01,28.14,6864.84,13.44,3.28,0.0,Latin America
14010,Botswana,all_energy_types,1990,0.03,0.02,11.03,1286.755,23.74,2.77,2.28,Africa
14011,Botswana,coal,1990,0.02,0.02,11.03,1286.755,23.74,2.77,1.48,Africa
14012,Botswana,natural_gas,1990,0.0,0.0,11.03,1286.755,23.74,2.77,0.0,Africa
14013,Botswana,petroleum_n_other_liquids,1990,0.01,0.0,11.03,1286.755,23.74,2.77,0.8,Africa
14015,Botswana,renewables_n_other,1990,0.0,0.0,11.03,1286.755,23.74,2.77,0.0,Africa
14016,Brazil,all_energy_types,1990,5.86,4.03,1532.73,149336.0,39.22,3.82,232.0,Latin America
14017,Brazil,coal,1990,0.4,0.07,1532.73,149336.0,39.22,3.82,42.77,Latin America
14018,Brazil,natural_gas,1990,0.11,0.11,1532.73,149336.0,39.22,3.82,7.22,Latin America
14019,Brazil,petroleum_n_other_liquids,1990,3.05,1.39,1532.73,149336.0,39.22,3.82,182.0,Latin America
14020,Brazil,nuclear,1990,0.02,0.02,1532.73,149336.0,39.22,3.82,0.0,Latin America
14021,Brazil,renewables_n_other,1990,2.27,2.43,1532.73,149336.0,39.22,3.82,0.0,Latin America
14022,British Virgin Islands,all_energy_types,1990,0.0,0.0,0.26,17.489,37.78,2.56,0.05,Western Europe
14023,British Virgin Islands,coal,1990,0.0,0.0,0.26,17.489,37.78,2.56,0.0,Western Europe
14024,British Virgin Islands,natural_gas,1990,0.0,0.0,0.26,17.489,37.78,2.56,0.0,Western Europe
14025,British Virgin Islands,petroleum_n_other_liquids,1990,0.0,0.0,0.26,17.489,37.78,2.56,0.05,Western Europe
14027,British Virgin Islands,renewables_n_other,1990,0.0,0.0,0.26,17.489,37.78,2.56,0.0,Western Europe
14028,Brunei,all_energy_types,1990,0.07,0.72,18.25,258.714,271.06,3.84,4.57,Asia
14029,Brunei,coal,1990,0.0,0.0,18.25,258.714,271.06,3.84,0.0,Asia
14030,Brunei,natural_gas,1990,0.06,0.39,18.25,258.714,271.06,3.84,3.67,Asia
14031,Brunei,petroleum_n_other_liquids,1990,0.01,0.34,18.25,258.714,271.06,3.84,0.9,Asia
14033,Brunei,renewables_n_other,1990,0.0,0.0,18.25,258.714,271.06,3.84,0.0,Asia
14034,Bulgaria,all_energy_types,1990,1.2,0.4,80.47,8706.035,137.92,14.92,86.77,Eastern Europe
14035,Bulgaria,coal,1990,0.38,0.22,80.47,8706.035,137.92,14.92,38.61,Eastern Europe
14036,Bulgaria,natural_gas,1990,0.23,0.0,80.47,8706.035,137.92,14.92,11.16,Eastern Europe
14037,Bulgaria,petroleum_n_other_liquids,1990,0.41,0.01,80.47,8706.035,137.92,14.92,37.0,Eastern Europe
14038,Bulgaria,nuclear,1990,0.15,0.15,80.47,8706.035,137.92,14.92,0.0,Eastern Europe
14039,Bulgaria,renewables_n_other,1990,0.03,0.02,80.47,8706.035,137.92,14.92,0.0,Eastern Europe
14040,Burkina Faso,all_energy_types,1990,0.01,0.0,8.07,8811.03,0.79,0.86,0.5,Africa
14041,Burkina Faso,coal,1990,0.0,0.0,8.07,8811.03,0.79,0.86,0.0,Africa
14042,Burkina Faso,natural_gas,1990,0.0,0.0,8.07,8811.03,0.79,0.86,0.0,Africa
14043,Burkina Faso,petroleum_n_other_liquids,1990,0.01,0.0,8.07,8811.03,0.79,0.86,0.5,Africa
14045,Burkina Faso,renewables_n_other,1990,0.0,0.0,8.07,8811.03,0.79,0.86,0.0,Africa
14046,Burma,all_energy_types,1990,0.09,0.08,27.5,41335.2,2.07,3.12,4.8,Asia
14047,Burma,coal,1990,0.0,0.0,27.5,41335.2,2.07,3.12,0.19,Asia
14048,Burma,natural_gas,1990,0.04,0.04,27.5,41335.2,2.07,3.12,2.11,Asia
14049,Burma,petroleum_n_other_liquids,1990,0.03,0.03,27.5,41335.2,2.07,3.12,2.5,Asia
14051,Burma,renewables_n_other,1990,0.01,0.01,27.5,41335.2,2.07,3.12,0.0,Asia
14052,Burundi,all_energy_types,1990,0.01,0.0,5.79,5438.96,1.0,0.94,0.3,Africa
14053,Burundi,coal,1990,0.0,0.0,5.79,5438.96,1.0,0.94,0.0,Africa
14054,Burundi,natural_gas,1990,0.0,0.0,5.79,5438.96,1.0,0.94,0.0,Africa
14055,Burundi,petroleum_n_other_liquids,1990,0.0,0.0,5.79,5438.96,1.0,0.94,0.3,Africa
14057,Burundi,renewables_n_other,1990,0.0,0.0,5.79,5438.96,1.0,0.94,0.0,Africa
14058,Cabo Verde,all_energy_types,1990,0.0,0.0,0.91,337.953,3.47,1.28,0.09,Africa
14059,Cabo Verde,coal,1990,0.0,0.0,0.91,337.953,3.47,1.28,0.0,Africa
14060,Cabo Verde,natural_gas,1990,0.0,0.0,0.91,337.953,3.47,1.28,0.0,Africa
14061,Cabo Verde,petroleum_n_other_liquids,1990,0.0,0.0,0.91,337.953,3.47,1.28,0.09,Africa
14063,Cabo Verde,renewables_n_other,1990,0.0,0.0,0.91,337.953,3.47,1.28,0.0,Africa
14064,Cambodia,all_energy_types,1990,0.01,0.0,14.03,8975.6,0.78,0.5,0.5,Asia
14065,Cambodia,coal,1990,0.0,0.0,14.03,8975.6,0.78,0.5,0.0,Asia
14066,Cambodia,natural_gas,1990,0.0,0.0,14.03,8975.6,0.78,0.5,0.0,Asia
14067,Cambodia,petroleum_n_other_liquids,1990,0.01,0.0,14.03,8975.6,0.78,0.5,0.5,Asia
14069,Cambodia,renewables_n_other,1990,0.0,0.0,14.03,8975.6,0.78,0.5,0.0,Asia
14070,Cameroon,all_energy_types,1990,0.08,0.38,35.79,11780.1,6.6,2.17,3.2,Africa
14071,Cameroon,coal,1990,0.0,0.0,35.79,11780.1,6.6,2.17,0.0,Africa
14072,Cameroon,natural_gas,1990,0.0,0.0,35.79,11780.1,6.6,2.17,0.0,Africa
14073,Cameroon,petroleum_n_other_liquids,1990,0.05,0.35,35.79,11780.1,6.6,2.17,3.2,Africa
14075,Cameroon,renewables_n_other,1990,0.03,0.03,35.79,11780.1,6.6,2.17,0.0,Africa
14076,Canada,all_energy_types,1990,10.64,13.15,899.61,27691.12,384.38,11.83,467.66,Canada
14077,Canada,coal,1990,0.98,1.45,899.61,27691.12,384.38,11.83,103.58,Canada
14078,Canada,natural_gas,1990,2.41,3.9,899.61,27691.12,384.38,11.83,130.57,Canada
14079,Canada,petroleum_n_other_liquids,1990,3.36,3.91,899.61,27691.12,384.38,11.83,233.51,Canada
14080,Canada,nuclear,1990,0.79,0.79,899.61,27691.12,384.38,11.83,0.0,Canada
14081,Canada,renewables_n_other,1990,3.1,3.1,899.61,27691.12,384.38,11.83,0.0,Canada
14082,Cayman Islands,all_energy_types,1990,0.0,0.0,1.52,25.307,163.73,2.72,0.3,Western Europe
14083,Cayman Islands,coal,1990,0.0,0.0,1.52,25.307,163.73,2.72,0.0,Western Europe
14084,Cayman Islands,natural_gas,1990,0.0,0.0,1.52,25.307,163.73,2.72,0.0,Western Europe
14085,Cayman Islands,petroleum_n_other_liquids,1990,0.0,0.0,1.52,25.307,163.73,2.72,0.3,Western Europe
14087,Cayman Islands,renewables_n_other,1990,0.0,0.0,1.52,25.307,163.73,2.72,0.0,Western Europe
14088,Central African Republic,all_energy_types,1990,0.0,0.0,3.39,2806.74,1.51,1.25,0.2,Africa
14089,Central African Republic,coal,1990,0.0,0.0,3.39,2806.74,1.51,1.25,0.0,Africa
14090,Central African Republic,natural_gas,1990,0.0,0.0,3.39,2806.74,1.51,1.25,0.0,Africa
14091,Central African Republic,petroleum_n_other_liquids,1990,0.0,0.0,3.39,2806.74,1.51,1.25,0.2,Africa
14093,Central African Republic,renewables_n_other,1990,0.0,0.0,3.39,2806.74,1.51,1.25,0.0,Africa
14094,Chad,all_energy_types,1990,0.0,0.0,6.11,5963.25,0.81,0.79,0.2,Africa
14095,Chad,coal,1990,0.0,0.0,6.11,5963.25,0.81,0.79,0.0,Africa
14096,Chad,natural_gas,1990,0.0,0.0,6.11,5963.25,0.81,0.79,0.0,Africa
14097,Chad,petroleum_n_other_liquids,1990,0.0,0.0,6.11,5963.25,0.81,0.79,0.2,Africa
14099,Chad,renewables_n_other,1990,0.0,0.0,6.11,5963.25,0.81,0.79,0.0,Africa
14100,Chile,all_energy_types,1990,0.57,0.3,117.7,13211.2,42.99,4.83,28.62,Latin America
14101,Chile,coal,1990,0.07,0.04,117.7,13211.2,42.99,4.83,6.67,Latin America
14102,Chile,natural_gas,1990,0.07,0.07,117.7,13211.2,42.99,4.83,3.02,Latin America
14103,Chile,petroleum_n_other_liquids,1990,0.3,0.06,117.7,13211.2,42.99,4.83,18.93,Latin America
14105,Chile,renewables_n_other,1990,0.13,0.13,117.7,13211.2,42.99,4.83,0.0,Latin America
14106,China,all_energy_types,1990,28.37,31.88,1662.47,1178835.0,24.07,17.07,2413.19,Asia
14107,China,coal,1990,21.62,24.04,1662.47,1178835.0,24.07,17.07,2035.35,Asia
14108,China,natural_gas,1990,0.57,0.58,1662.47,1178835.0,24.07,17.07,30.84,Asia
14109,China,petroleum_n_other_liquids,1990,4.91,5.95,1662.47,1178835.0,24.07,17.07,347.0,Asia
14111,China,renewables_n_other,1990,1.27,1.3,1662.47,1178835.0,24.07,17.07,0.0,Asia
14112,Colombia,all_energy_types,1990,0.94,1.92,259.78,33102.6,28.5,3.63,45.55,Latin America
14113,Colombia,coal,1990,0.13,0.52,259.78,33102.6,28.5,3.63,11.22,Latin America
14114,Colombia,natural_gas,1990,0.14,0.14,259.78,33102.6,28.5,3.63,7.2,Latin America
14115,Colombia,petroleum_n_other_liquids,1990,0.39,0.98,259.78,33102.6,28.5,3.63,27.12,Latin America
14117,Colombia,renewables_n_other,1990,0.28,0.29,259.78,33102.6,28.5,3.63,0.0,Latin America
14118,Comoros,all_energy_types,1990,0.0,0.0,1.15,411.598,2.21,0.79,0.05,Arab contries
14119,Comoros,coal,1990,0.0,0.0,1.15,411.598,2.21,0.79,0.0,Arab contries
14120,Comoros,natural_gas,1990,0.0,0.0,1.15,411.598,2.21,0.79,0.0,Arab contries
14121,Comoros,petroleum_n_other_liquids,1990,0.0,0.0,1.15,411.598,2.21,0.79,0.05,Arab contries
14123,Comoros,renewables_n_other,1990,0.0,0.0,1.15,411.598,2.21,0.79,0.0,Arab contries
14124,Congo-Brazzaville,all_energy_types,1990,0.02,0.35,10.17,2356.74,8.17,1.89,0.9,Africa
14125,Congo-Brazzaville,coal,1990,0.0,0.0,10.17,2356.74,8.17,1.89,0.0,Africa
14126,Congo-Brazzaville,natural_gas,1990,0.0,0.0,10.17,2356.74,8.17,1.89,0.0,Africa
14127,Congo-Brazzaville,petroleum_n_other_liquids,1990,0.01,0.35,10.17,2356.74,8.17,1.89,0.9,Africa
14129,Congo-Brazzaville,renewables_n_other,1990,0.01,0.01,10.17,2356.74,8.17,1.89,0.0,Africa
14130,Congo-Kinshasa,all_energy_types,1990,0.11,0.12,53.54,34612.0,3.07,1.99,3.91,Africa
14131,Congo-Kinshasa,coal,1990,0.0,0.0,53.54,34612.0,3.07,1.99,0.61,Africa
14132,Congo-Kinshasa,natural_gas,1990,0.0,0.0,53.54,34612.0,3.07,1.99,0.0,Africa
14133,Congo-Kinshasa,petroleum_n_other_liquids,1990,0.04,0.06,53.54,34612.0,3.07,1.99,3.3,Africa
14135,Congo-Kinshasa,renewables_n_other,1990,0.06,0.06,53.54,34612.0,3.07,1.99,0.0,Africa
14142,Costa Rica,all_energy_types,1990,0.07,0.03,27.48,3119.44,23.83,2.7,2.81,Latin America
14143,Costa Rica,coal,1990,0.0,0.0,27.48,3119.44,23.83,2.7,0.0,Latin America
14144,Costa Rica,natural_gas,1990,0.0,0.0,27.48,3119.44,23.83,2.7,0.0,Latin America
14145,Costa Rica,petroleum_n_other_liquids,1990,0.04,0.0,27.48,3119.44,23.83,2.7,2.81,Latin America
14147,Costa Rica,renewables_n_other,1990,0.04,0.03,27.48,3119.44,23.83,2.7,0.0,Latin America
14154,Cuba,all_energy_types,1990,0.5,0.06,86.35,10597.0,46.92,5.76,35.63,Latin America
14155,Cuba,coal,1990,0.0,0.0,86.35,10597.0,46.92,5.76,0.56,Latin America
14156,Cuba,natural_gas,1990,0.0,0.0,86.35,10597.0,46.92,5.76,0.06,Latin America
14157,Cuba,petroleum_n_other_liquids,1990,0.48,0.04,86.35,10597.0,46.92,5.76,35.0,Latin America
14159,Cuba,renewables_n_other,1990,0.02,0.02,86.35,10597.0,46.92,5.76,0.0,Latin America
14172,Côte d’Ivoire,all_energy_types,1990,0.08,0.02,55.78,11924.9,6.5,1.39,5.6,Africa
14173,Côte d’Ivoire,coal,1990,0.0,0.0,55.78,11924.9,6.5,1.39,0.0,Africa
14174,Côte d’Ivoire,natural_gas,1990,0.0,0.0,55.78,11924.9,6.5,1.39,0.0,Africa
14175,Côte d’Ivoire,petroleum_n_other_liquids,1990,0.06,0.0,55.78,11924.9,6.5,1.39,5.6,Africa
14177,Côte d’Ivoire,renewables_n_other,1990,0.01,0.01,55.78,11924.9,6.5,1.39,0.0,Africa
14178,Denmark,all_energy_types,1990,0.75,0.38,186.23,5142.32,145.64,4.02,52.87,Western Europe
14179,Denmark,coal,1990,0.23,0.0,186.23,5142.32,145.64,4.02,19.89,Western Europe
14180,Denmark,natural_gas,1990,0.08,0.12,186.23,5142.32,145.64,4.02,4.0,Western Europe
14181,Denmark,petroleum_n_other_liquids,1990,0.4,0.25,186.23,5142.32,145.64,4.02,28.98,Western Europe
14183,Denmark,renewables_n_other,1990,0.03,0.01,186.23,5142.32,145.64,4.02,0.0,Western Europe
14184,Djibouti,all_energy_types,1990,0.02,0.0,2.74,590.393,39.77,8.56,1.7,Arab contries
14185,Djibouti,coal,1990,0.0,0.0,2.74,590.393,39.77,8.56,0.0,Arab contries
14186,Djibouti,natural_gas,1990,0.0,0.0,2.74,590.393,39.77,8.56,0.0,Arab contries
14187,Djibouti,petroleum_n_other_liquids,1990,0.02,0.0,2.74,590.393,39.77,8.56,1.7,Arab contries
14189,Djibouti,renewables_n_other,1990,0.0,0.0,2.74,590.393,39.77,8.56,0.0,Arab contries
14190,Dominica,all_energy_types,1990,0.0,0.0,0.51,70.422,12.72,1.74,0.06,Latin America
14191,Dominica,coal,1990,0.0,0.0,0.51,70.422,12.72,1.74,0.0,Latin America
14192,Dominica,natural_gas,1990,0.0,0.0,0.51,70.422,12.72,1.74,0.0,Latin America
14193,Dominica,petroleum_n_other_liquids,1990,0.0,0.0,0.51,70.422,12.72,1.74,0.06,Latin America
14195,Dominica,renewables_n_other,1990,0.0,0.0,0.51,70.422,12.72,1.74,0.0,Latin America
14196,Dominican Republic,all_energy_types,1990,0.14,0.0,41.04,7133.49,19.45,3.38,8.12,Latin America
14197,Dominican Republic,coal,1990,0.0,0.0,41.04,7133.49,19.45,3.38,0.02,Latin America
14198,Dominican Republic,natural_gas,1990,0.0,0.0,41.04,7133.49,19.45,3.38,0.0,Latin America
14199,Dominican Republic,petroleum_n_other_liquids,1990,0.13,0.0,41.04,7133.49,19.45,3.38,8.1,Latin America
14201,Dominican Republic,renewables_n_other,1990,0.0,0.0,41.04,7133.49,19.45,3.38,0.0,Latin America
14202,Ecuador,all_energy_types,1990,0.25,0.68,78.7,10230.9,24.71,3.21,12.19,Latin America
14203,Ecuador,coal,1990,0.0,0.0,78.7,10230.9,24.71,3.21,0.0,Latin America
14204,Ecuador,natural_gas,1990,0.01,0.01,78.7,10230.9,24.71,3.21,0.19,Latin America
14205,Ecuador,petroleum_n_other_liquids,1990,0.2,0.63,78.7,10230.9,24.71,3.21,12.0,Latin America
14207,Ecuador,renewables_n_other,1990,0.05,0.05,78.7,10230.9,24.71,3.21,0.0,Latin America
14208,Egypt,all_energy_types,1990,1.42,2.36,373.76,56134.5,25.32,3.8,85.45,Arab contries
14209,Egypt,coal,1990,0.03,0.0,373.76,56134.5,25.32,3.8,3.29,Arab contries
14210,Egypt,natural_gas,1990,0.3,0.3,373.76,56134.5,25.32,3.8,15.17,Arab contries
14211,Egypt,petroleum_n_other_liquids,1990,0.99,1.96,373.76,56134.5,25.32,3.8,67.0,Arab contries
14213,Egypt,renewables_n_other,1990,0.1,0.1,373.76,56134.5,25.32,3.8,0.0,Arab contries
14214,El Salvador,all_energy_types,1990,0.05,0.02,25.98,5270.07,10.18,2.06,2.2,Latin America
14215,El Salvador,coal,1990,0.0,0.0,25.98,5270.07,10.18,2.06,0.0,Latin America
14216,El Salvador,natural_gas,1990,0.0,0.0,25.98,5270.07,10.18,2.06,0.0,Latin America
14217,El Salvador,petroleum_n_other_liquids,1990,0.03,0.0,25.98,5270.07,10.18,2.06,2.2,Latin America
14219,El Salvador,renewables_n_other,1990,0.02,0.02,25.98,5270.07,10.18,2.06,0.0,Latin America
14220,Equatorial Guinea,all_energy_types,1990,0.0,0.0,0.37,419.188,4.14,4.69,0.1,Africa
14221,Equatorial Guinea,coal,1990,0.0,0.0,0.37,419.188,4.14,4.69,0.0,Africa
14222,Equatorial Guinea,natural_gas,1990,0.0,0.0,0.37,419.188,4.14,4.69,0.0,Africa
14223,Equatorial Guinea,petroleum_n_other_liquids,1990,0.0,0.0,0.37,419.188,4.14,4.69,0.1,Africa
14225,Equatorial Guinea,renewables_n_other,1990,0.0,0.0,0.37,419.188,4.14,4.69,0.0,Africa
14238,Eswatini,all_energy_types,1990,0.01,0.01,4.45,822.423,14.31,2.65,0.74,Africa
